Job Title,Company Name,Location,Experience Level,Years of Experience,Skills & Tools
ERP Implementer,Erpplus5,"Maadi, Cairo",Experienced (Non-Manager),2 to 5 years,ERP | Implementation | Finance | Accounting | Financial Accounting | Accounting Systems | Business Processes | Information Technology (IT) | Planning | Business Administration | business | Computer Science | Management | Human Resource Management (HRM) | HR | HR Systems | HR Policies | HRMS | HRMIS | HRM | HRIS | HR Admin | HR Specialist
Senior Data Engineer,Vertex Technologies,"Cairo, Egypt",Experienced (Non-Manager),More than 4 years,"Data Engineering | Python | Scala | Databricks | SQL | Dimensional Modeling | OLTP/OLAP | Cloud Platforms (AWS, Azure, GCP) | AWS | Computer Science | Design | Development | Engineering | Information Technology (IT) | MongoDB | Networking | NoSQL | Software Development"
Mid-Level Software Tester,Expert Apps,"Maadi, Cairo",Experienced (Non-Manager),2 to 3 years,Quality Control | Information Technology (IT) | Software Development | Software Engineering | ISTQB | Agile Software | SQL | Microsoft TFS
Data Scientist,Spinneys Egypt,"Maadi, Cairo",Entry Level (Junior Level / Fresh Grad),0 to 2 years,Computer Science | Data Science | Information Technology (IT) | Python
IT Specialist,"Confidential Company - Haram, Giza","Haram, Giza",Experienced (Non-Manager),5 to 7 years,Computer Science | Information Technology (IT) | IT Specialist | Installation | Technical Support | specialist | IT
QA & Document Control Specialist,NILEWOOD,"Alsadat City, Monufya",Experienced (Non-Manager),3 to 5 years,"Document Control | QA | Quality Assurance | Quality Control | , ISO 9001, Power BI"
Senior BI Analyst,Ibn Sina Pharma,"New Cairo, Cairo",Experienced (Non-Manager),2 to 4 years,Analysis | BI | Business Analysis | Power BI | SQL | Computer Science | Data Visualization | Data Modeling | ETL | Problem Solving | Communication | Stakeholder Management | Reporting | Dashboarding | Data Analysis | Business Intelligence | Information Technology (IT)
Backend Engineer (Node.js / NestJS / TypeScript),tech technology,"Cairo, Egypt",Experienced (Non-Manager),More than 3 years,Node.js | Software Development | Software Engineering | Typescript | Nest | Architecture | AWS | Computer Science | Design | Engineering | Information Technology (IT)
Senior Principal Engineer - Dry Utilities,Atkins Realis,"Nasr City, Cairo",Experienced (Non-Manager),15 to 20 years,Engineering | Design | Electrical Engineering | AutoCAD | Computer Science | Development | Information Technology (IT) | Software Development
Sales Engineer – Industrial Solutions (Alexandria),Trust Engineering Compan...,"Alexandria, Egypt",Experienced (Non-Manager),2 to 5 years,Sales | Technical Sales | Sales engineer | Customer Support | Engineering Services | Sales skills | Maintenance Engineering | Industria maintenance products | Outdoor Sales | Field Sales | Engineering | English | petrochemical | Sales Target | Science | Software | Customer Service | Mechanical | B2B Sales Industrial Products | Sales Engineer Technical Sales Industrial Sales Mechanical Engineer Electrical Engineer Mechatronics Engineer Maintenance Engineer Industrial Solutions Lubricants Welding MRO Business Development Field Sales Engineering Sales Technical Support Industrial
Senior Full-Stack Engineer (Django + React + Python + GCP),"Confidential Company - Cairo, Egypt","Cairo, Egypt",Experienced (Non-Manager),More than 5 years,Python | Django | React.js | Google Cloud Platform (GCP) | PostgreSQL | REST APIs | Celery | Redis | Docker | CI/CD | AI Integration | LLM API | Gemini | RAG | Vector Databases | Artificial Intelligence (AI) | React | Software Development
Data Scientist,MEAHCO - Saudi German He...,"Katameya, Cairo",Experienced (Non-Manager),1 to 4 years,pandas | NumPy | Scikit-learn | SciPy | CNNs | RNNs | LSTMs | Transformers | Autoencoders | PyTorch | MLflow | Information Technology (IT) | Data Science | Computer Science
Food Production Engineer – Extracts Herbal Tea Powders,Tawakol for Investment a...,"Dar Alsalam, Cairo",Experienced (Non-Manager),1 to 3 years,Food Processing | Quality Assurance | Food Safety | Equipment Operation | Food Production | Food Manufacturing | powder
Senior Product Owner / Junior Product Manager,3D Diagnostix,"Maadi, Cairo",Experienced (Non-Manager),More than 6 years,Information Technology (IT) | Software Development | Computer Science | Product Management | product owner | Agile | Product | product manager | Product knowledge | Product Development | Development | Engineering | Integration | Kanban | Software | Project Management | Product Ownership | Product Lifecycle Management | Market Research | Stakeholder Management | Agile Methodologies | Strategic Planning | Data Analysis | Cross-functional Collaboration | Healthcare Technology | Communication | Problem Solving | Management | Scrum
Solutions Architect – e-Invoicing Integrations,Intelleti LLC,"Cairo, Egypt",Experienced (Non-Manager),More than 7 years,Solution Architecture | e-invoice | ERP Integration | API Design | Requirements Analysis | Information Technology (IT) | SQL | Architecture | Computer Engineering | Computer Science | Database | ERP | Oracle | REST | SOAP
quality assurance,Cairbou Coffee Egypt,"Maadi, Cairo",Entry Level (Junior Level / Fresh Grad),1 to 3 years,Quality Assurance | Quality Control | QA | Food Safety & Hygiene | Auditing & Inspection | Recipe & Standard Compliance | Reporting & Data Analysis | Attention to Detail | Communication & Assertiveness | Training & Coaching
Infrastructure Engineer,National technology grou...,"6th of October, Giza",Experienced (Non-Manager),More than 3 years,IT Infrastructure Management | Network Administration
AI Solutions Specialist,روية للحلول المتكاملة,"Alexandria, Egypt",Experienced (Non-Manager),More than 4 years,AI | •	Python | •	TensorFlow | •	NLP | Information Technology (IT) | Sales | Computer Science
Data analysis Instructor- online,Yat Learning Centers,"Maadi, Cairo",Experienced (Non-Manager),3 to 7 years,Analysis | Data Analysis | BI | SQL | Python | Tableau
Dynamics AX / D365 Finance & Operations Developer,Allamna Integrated Solut...,"Cairo, Egypt",Entry Level (Junior Level / Fresh Grad),0 to 2 years,Dynamics 365 | SQL Server | D365 Finance and Operation | MS Dynamics AX | X++ programming
Senior HIS Back Office Support Engineer,"Confidential Company - Heliopolis, Cairo","Heliopolis, Cairo",Experienced (Non-Manager),5 to 7 years,Information Technology (IT) | Computer Science | Database SQL Server | ERP Applications | Application Support
Senior Backend Engineer,Sabika,"Maadi, Cairo",Experienced (Non-Manager),5 to 10 years,Backend Development | Node.js | Express.js | NestJS | TypeScript | JavaScript | REST API | API Development | System Design | System Architecture | PostgreSQL | MySQL | Redis | MongoDB | Docker | CI/CD | AWS | Git | Application Security | OWASP | Secure Coding | JWT | Authentication | Fintech | Payment Gateway Integration | Third-Party Integration | Odoo | Firebase | Performance Optimization | Backend Engineer | Software Engineer
